27 of 34 units, , , ,V4e044_00, ,V4e044_01, ,V4e046_00, ,V4e046_01, ,V4e047_00, ,V4e047_01, ,V4e047_02, ,V4e047_05, ,V4e047_06, ,V4e048_00, ,V4e048_04, ,V4e048_05, ,V4e048_06, ,V4e052_00, ,V4e052_01, ,V4e053_00, ,V4e054_00, ,V4e055_00, ,V4e057_00, ,MTe040_00, ,MTe042_00, ,MTe049_00, ,MTe049_02, ,MTe050_00, ,MTe050_01, ,MTe051_00, ,MTe051_01, 
trials,task,color,motion,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample
1,C,1,6,15.673999786377,74.5449981689453,NaN,NaN,146.158004760742,289.149993896484,NaN,NaN,225.49299621582,303.695007324219,22.7830009460449,15.7089996337891,NaN,NaN,NaN,NaN,NaN,NaN,19.6310005187988,74.9850006103516,28.8700008392334,25.4060001373291,NaN,NaN,NaN,NaN,40.8390007019043,121.471000671387,6.78800010681152,66.0589981079102,62.0260009765625,103.095001220703,18.3239994049072,14.4440002441406,59.3359985351563,157.186996459961,63.1629981994629,99.2779998779297,8.64799976348877,11.4829998016357,64.5970001220703,64.2170028686523,48.2869987487793,198.085998535156,0.002000000094995,51.6310005187988,401.019012451172,415.332000732422,NaN,NaN,110.61499786377,301.921997070312,5,22.4290008544922
2,C,2,6,16.8369998931885,62.9729995727539,NaN,NaN,143.960998535156,369.653015136719,NaN,NaN,224.520004272461,263.971984863281,32.1689987182617,14.8850002288818,NaN,NaN,NaN,NaN,NaN,NaN,14.7720003128052,58.1790008544922,33.226001739502,39.0359992980957,NaN,NaN,NaN,NaN,42.3190002441406,87.3040008544922,10.5570001602173,37.476001739502,38.0289993286133,61.2179985046387,25.4150009155273,18.923999786377,50.5330009460449,174.371994018555,37.7229995727539,121.496002197266,8.73700046539307,17.5839996337891,68.4169998168945,83.4550018310547,70.1709976196289,260.447998046875,3.93400001525879,42.6310005187988,392.679992675781,444.686004638672,NaN,NaN,108.579002380371,312.339996337891,8.24300003051758,28.2129993438721
3,M,4,3,30.0939998626709,21.8950004577637,NaN,NaN,77.7620010375977,257.959991455078,NaN,NaN,170.802001953125,257.993988037109,18.9300003051758,8.22900009155273,NaN,NaN,NaN,NaN,NaN,NaN,17.007999420166,36.2140007019043,25.8169994354248,19.25,NaN,NaN,NaN,NaN,86.1039962768555,51.5099983215332,10.5869998931885,18.8390007019043,44.9309997558594,53.8899993896484,14.3140001296997,37.9410018920898,68.3960037231445,100.384002685547,42.4690017700195,35.2750015258789,24.1350002288818,14.3369998931885,44.9669990539551,85.0479965209961,29.8939990997314,242.274002075195,NaN,NaN,339.355987548828,470.260986328125,NaN,NaN,94.2620010375977,318.513000488281,6.36800003051758,18.0699996948242
4,C,7,1,30.9300003051758,82.8000030517578,NaN,NaN,196.960998535156,205.261993408203,NaN,NaN,250.496994018555,228.583999633789,36.939998626709,20.5179996490479,NaN,NaN,NaN,NaN,NaN,NaN,15.9099998474121,53.6689987182617,22.3990001678467,49.9770011901856,NaN,NaN,NaN,NaN,51.8110008239746,96.8440017700195,0.625,14.706000328064,74.1100006103516,51.101001739502,40.640998840332,6.02799987792969,104.258003234863,60.1040000915527,23.7430000305176,41.5519981384277,25.6389999389648,20.7929992675781,59.9119987487793,66.8140029907227,62.2459983825684,110.432998657227,NaN,NaN,379.43798828125,470.786010742188,NaN,NaN,79.1569976806641,248.901992797852,0.115000002086163,39.8520011901855
5,C,1,2,66.9899978637695,53.7900009155274,NaN,NaN,31.8229999542236,197.533004760742,NaN,NaN,173.080993652344,249.813995361328,20.4379997253418,7.96999979019165,NaN,NaN,NaN,NaN,NaN,NaN,17.2970008850098,47.3740005493164,23.6849994659424,25.7140007019043,NaN,NaN,NaN,NaN,58.5250015258789,101.314002990723,19.9360008239746,32.3279991149902,48.8219985961914,68.1119995117188,16.1620006561279,23.8299999237061,63.7540016174316,128.598007202148,51.5699996948242,125.087997436523,4.3730001449585,18.1709995269775,54.5299987792969,65.8040008544922,39.7130012512207,190.494003295898,2.31900000572205,45.9010009765625,315.061004638672,462.230987548828,NaN,NaN,70.3489990234375,265.934997558594,5.89200019836426,29.5580005645752
6,M,6,7,57.6710014343262,27.8059997558594,NaN,NaN,51.3170013427734,239.167999267578,NaN,NaN,178.735992431641,240.138000488281,8.95899963378906,22.886999130249,NaN,NaN,NaN,NaN,NaN,NaN,18.4220008850098,64.5690002441406,27.4400005340576,16.507999420166,NaN,NaN,NaN,NaN,54.4099998474121,102.011001586914,14.6499996185303,11.1540002822876,42.3269996643066,52.7949981689453,30.7080001831055,28.0540008544922,41.2190017700195,78.6839981079102,17.4529991149902,73.1289978027344,11.2720003128052,7.83799982070923,51.0390014648438,43.7039985656738,23.9029998779297,140.074996948242,NaN,NaN,378.180999755859,479.829010009766,NaN,NaN,70.6360015869141,184.473007202148,8.56999969482422,15.1090002059937
7,M,1,1,19.2210006713867,90.0419998168945,NaN,NaN,55.3050003051758,105.94100189209,NaN,NaN,170.891998291016,279.606994628906,34.8880004882812,3.4300000667572,NaN,NaN,NaN,NaN,NaN,NaN,23.7259998321533,11.581000328064,35.8779983520508,35.515998840332,NaN,NaN,NaN,NaN,49.7109985351563,131.048004150391,2.28800010681152,21.9930000305176,40.8240013122559,82.0429992675781,20.5839996337891,18.3729991912842,54.484001159668,71.6650009155273,66.1269989013672,15.6940002441406,8.66899967193604,19.132999420166,58.548999786377,47.2470016479492,42.3569984436035,83.370002746582,NaN,NaN,340.803985595703,485.006988525391,NaN,NaN,74.495002746582,231.194000244141,0.074000000953674,22.1529998779297
8,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,M,6,7,30.3139991760254,68.427001953125,NaN,NaN,58.1419982910156,247.369995117187,NaN,NaN,223.305999755859,247.964004516602,13.8050003051758,7.19000005722046,NaN,NaN,NaN,NaN,NaN,NaN,12.2550001144409,75.4039993286133,24.0990009307861,19.2609996795654,NaN,NaN,NaN,NaN,83.7959976196289,88.8089981079102,21.181999206543,12.3059997558594,101.171997070313,73.2210006713867,69.1790008544922,29.1350002288818,65.6279983520508,118.985000610352,42.4140014648438,58.9300003051758,19.2119998931885,12.2159996032715,68.6139984130859,85.0429992675781,40.6650009155274,155.561996459961,NaN,NaN,345.010009765625,461.501007080078,NaN,NaN,82.6190032958984,198.923004150391,19.8939990997314,8.0600004196167
