33 of 36 units, , , , ,V4e040_00, , , ,V4e040_01, , , ,V4e041_00, , , ,V4e042_00, , , ,V4e045_00, , , ,V4e045_01, , , ,V4e045_02, , , ,V4e045_03, , , ,V4e047_00, , , ,V4e047_01, , , ,V4e048_00, , , ,V4e048_01, , , ,V4e052_00, , , ,V4e053_00, , , ,V4e054_00, , , ,V4e055_00, , , ,V4e056_00, , , ,V4e056_01, , , ,V4e056_02, , , ,V4e056_03, , , ,V4e057_00, , , ,V4e057_01, , , ,MTe034_00, , , ,MTe035_00, , , ,MTe036_00, , , ,MTe036_01, , , ,MTe036_02, , , ,MTe037_00, , , ,MTe038_00, , , ,MTe039_00, , , ,MTe049_00, , , ,MTe050_00, , , ,MTe051_00, , , 
trials,task,correct,color,motion,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample
1,M,1,7.0,1.0,2.4489998817443848,12.35099983215332,2.2839999198913574,3.877000093460083,0.08699999749660492,8.286999702453613,0.02199999988079071,4.906000137329102,10.737000465393066,25.98200035095215,8.321000099182129,5.50600004196167,NaN,NaN,NaN,NaN,59.28300094604492,67.64800262451172,12.234999656677246,28.996000289916992,NaN,NaN,NaN,NaN,30.766000747680664,10.385000228881836,4.2170000076293945,0.026000000536441803,NaN,NaN,NaN,NaN,51.51599884033203,39.4119987487793,35.09700012207031,60.48699951171875,NaN,NaN,NaN,NaN,67.20800018310547,134.60000610351562,141.26100158691406,174.40199279785156,NaN,NaN,NaN,NaN,12.529999732971191,16.243000030517578,10.331999778747559,8.600000381469727,71.69000244140625,74.73500061035156,42.986000061035156,87.61499786376953,14.019000053405762,17.111000061035156,1.680999994277954,68.83499908447266,71.73999786376953,127.59600067138672,35.319000244140625,155.8249969482422,34.24300003051758,32.369998931884766,27.30900001525879,105.88099670410156,6.526000022888184,0.0010000000474974513,0.020999999716877937,22.51099967956543,NaN,NaN,NaN,NaN,2.4140000343322754,0.12099999934434891,6.683000087738037,30.67300033569336,64.59600067138672,31.148000717163086,32.81100082397461,79.18900299072266,NaN,NaN,NaN,NaN,184.97999572753906,96.64099884033203,155.9770050048828,182.7790069580078,232.6179962158203,128.12899780273438,125.33100128173828,260.0929870605469,174.64599609375,131.8350067138672,112.32099914550781,173.61000061035156,13.960000038146973,15.927000045776367,6.357999801635742,23.111000061035156,16.368999481201172,10.138999938964844,4.485000133514404,13.711999893188477,12.282999992370605,18.8799991607666,15.029000282287598,30.573999404907227,39.5989990234375,74.16600036621094,64.97599792480469,83.58200073242188,30.618999481201172,85.89800262451172,45.57899856567383,69.24800109863281,16.801000595092773,18.530000686645508,7.729000091552734,20.19499969482422,14.927000045776367,14.991999626159668,13.689000129699707,19.04400062561035,35.051998138427734,51.46900177001953,33.48500061035156,75.80999755859375
2,M,1,1.0,2.0,NaN,NaN,NaN,NaN,11.937999725341797,12.88700008392334,0.012000000104308128,13.0600004196167,10.588000297546387,6.89900016784668,6.2729997634887695,17.124000549316406,NaN,NaN,NaN,NaN,46.48699951171875,52.191001892089844,20.851999282836914,56.013999938964844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.071998596191406,47.4900016784668,78.39800262451172,67.65799713134766,NaN,NaN,NaN,NaN,31.917999267578125,68.78099822998047,105.23699951171875,127.73200225830078,NaN,NaN,NaN,NaN,4.443999767303467,14.755999565124512,9.218999862670898,23.733999252319336,48.047000885009766,80.51300048828125,59.38399887084961,63.39799880981445,10.248000144958496,20.538000106811523,15.156999588012695,29.69499969482422,73.66600036621094,111.0739974975586,136.96600341796875,116.62300109863281,20.385000228881836,29.799999237060547,47.13999938964844,39.875999450683594,8.657999992370605,2.8320000171661377,15.508000373840332,12.961999893188477,NaN,NaN,NaN,NaN,6.7270002365112305,2.7269999980926514,15.607000350952148,31.53700065612793,52.167999267578125,72.16899871826172,135.01400756835938,52.367000579833984,2.5929999351501465,4.160999774932861,12.967000007629395,15.649999618530273,59.98699951171875,109.7229995727539,129.4720001220703,188.9459991455078,125.76100158691406,154.33700561523438,147.82400512695312,269.4930114746094,122.02999877929688,176.5679931640625,140.5240020751953,154.36199951171875,22.31399917602539,8.465999603271484,16.31999969482422,0.32600000500679016,18.66200065612793,6.478000164031982,16.827999114990234,4.118000030517578,19.708999633789062,26.39900016784668,16.29199981689453,28.97800064086914,110.4520034790039,60.691001892089844,43.5620002746582,97.85800170898438,39.22600173950195,37.57400131225586,29.268999099731445,86.35800170898438,19.33099937438965,31.054000854492188,7.192999839782715,31.298999786376953,8.736000061035156,26.052000045776367,15.829999923706055,18.538000106811523,49.11199951171875,83.3010025024414,63.65599822998047,64.6050033569336
3,C,1,6.0,1.0,7.013999938964844,13.802000045776367,3.2829999923706055,12.397000312805176,8.482000350952148,7.4120001792907715,27.142000198364258,4.541999816894531,10.833000183105469,7.863999843597412,5.563000202178955,7.510000228881836,NaN,NaN,NaN,NaN,34.91600036621094,63.98099899291992,75.15299987792969,91.6500015258789,NaN,NaN,NaN,NaN,13.496000289916992,18.371000289916992,14.093000411987305,21.590999603271484,NaN,NaN,NaN,NaN,43.5880012512207,83.39199829101562,115.01200103759766,131.5489959716797,NaN,NaN,NaN,NaN,44.16600036621094,83.84700012207031,110.59700012207031,132.32200622558594,NaN,NaN,NaN,NaN,13.107000350952148,10.631999969482422,6.718999862670898,16.666000366210938,61.04499816894531,61.03099822998047,104.03299713134766,128.72799682617188,6.939000129699707,4.4029998779296875,21.347999572753906,68.6969985961914,47.8650016784668,58.14500045776367,96.99400329589844,208.02499389648438,14.833000183105469,25.309999465942383,27.04599952697754,58.172000885009766,2.4189999103546143,2.203000068664551,2.2130000591278076,18.066999435424805,NaN,NaN,NaN,NaN,0.16300000250339508,6.333000183105469,2.2639999389648438,17.677000045776367,32.13600158691406,38.11000061035156,43.79399871826172,95.69400024414062,NaN,NaN,NaN,NaN,123.05999755859375,104.58899688720703,74.78500366210938,197.25799560546875,170.05599975585938,137.10699462890625,142.6199951171875,286.9949951171875,165.4199981689453,168.0850067138672,173.92300415039062,218.27699279785156,22.179000854492188,21.888999938964844,12.072999954223633,32.77299880981445,34.30400085449219,9.253999710083008,13.144000053405762,25.898000717163086,10.84000015258789,22.516000747680664,29.738000869750977,31.441999435424805,102.96900177001953,65.10600280761719,75.8280029296875,99.94000244140625,51.125999450683594,62.39699935913086,47.97200012207031,81.70099639892578,4.783999919891357,16.100000381469727,4.28000020980835,14.96500015258789,24.48200035095215,15.616000175476074,16.711999893188477,31.014999389648438,34.38199996948242,44.32899856567383,27.923999786376953,112.11699676513672
4,M,1,1.0,2.0,NaN,NaN,NaN,NaN,4.2220001220703125,7.7220001220703125,13.093000411987305,18.961999893188477,8.03499984741211,6.677999973297119,3.8469998836517334,1.2690000534057617,NaN,NaN,NaN,NaN,15.902999877929688,70.3290023803711,46.91699981689453,76.85399627685547,NaN,NaN,NaN,NaN,6.491000175476074,22.687000274658203,5.677000045776367,8.366000175476074,4.35699987411499,2.244999885559082,2.246000051498413,7.985000133514404,66.35900115966797,102.98400115966797,70.95500183105469,126.56199645996094,NaN,NaN,NaN,NaN,63.992000579833984,73.0770034790039,52.00400161743164,192.7169952392578,NaN,NaN,NaN,NaN,13.73799991607666,11.753000259399414,9.85200023651123,7.807000160217285,56.178001403808594,55.319000244140625,50.99100112915039,63.917999267578125,32.367000579833984,18.243999481201172,31.708999633789062,33.7599983215332,149.2899932861328,41.75199890136719,67.66699981689453,108.32599639892578,15.487000465393066,18.240999221801758,23.722000122070312,16.049999237060547,6.784999847412109,0.05000000074505806,2.2730000019073486,14.73900032043457,NaN,NaN,NaN,NaN,2.3559999465942383,0.0,0.023000000044703484,11.3149995803833,55.39400100708008,63.827999114990234,19.513999938964844,92.36599731445312,NaN,NaN,NaN,NaN,85.2249984741211,130.58999633789062,101.95899963378906,134.8280029296875,99.80000305175781,144.67599487304688,129.22300720214844,241.85899353027344,135.11700439453125,152.5749969482422,116.4540023803711,156.03399658203125,24.523000717163086,12.54699993133545,27.354000091552734,14.116999626159668,8.515000343322754,14.45300006866455,28.020999908447266,37.58300018310547,10.435999870300293,18.115999221801758,15.343000411987305,19.08099937438965,113.197998046875,49.89699935913086,44.64799880981445,87.58799743652344,47.608001708984375,54.34400177001953,23.55299949645996,78.49600219726562,15.102999687194824,16.191999435424805,2.2850000858306885,29.332000732421875,9.859999656677246,18.326000213623047,6.36299991607666,23.847999572753906,29.426000595092773,26.334999084472656,30.400999069213867,84.41400146484375
5,M,1,2.0,6.0,NaN,NaN,NaN,NaN,6.4730000495910645,16.740999221801758,4.382999897003174,7.806000232696533,10.496999740600586,4.269000053405762,8.531999588012695,4.098999977111816,NaN,NaN,NaN,NaN,81.7249984741211,15.260000228881836,42.957000732421875,54.70399856567383,NaN,NaN,NaN,NaN,26.44700050354004,0.02199999988079071,2.244999885559082,0.0820000022649765,NaN,NaN,NaN,NaN,41.98899841308594,79.69300079345703,118.26899719238281,105.93000030517578,NaN,NaN,NaN,NaN,55.564998626708984,63.78900146484375,73.33599853515625,178.78799438476562,NaN,NaN,NaN,NaN,7.790999889373779,12.899999618530273,11.413999557495117,20.04199981689453,57.35300064086914,40.47800064086914,58.12300109863281,62.972999572753906,13.718000411987305,12.567000389099121,10.291999816894531,35.45800018310547,108.15799713134766,53.44599914550781,94.04900360107422,103.35800170898438,14.979000091552734,24.135000228881836,34.04899978637695,35.11399841308594,4.519999980926514,6.11899995803833,10.536999702453613,2.2170000076293945,NaN,NaN,NaN,NaN,2.424999952316284,0.0020000000949949026,10.677000045776367,35.49399948120117,30.302000045776367,56.375,58.025001525878906,127.5790023803711,0.1599999964237213,12.038999557495117,4.801000118255615,25.468000411987305,95.86699676513672,80.93499755859375,92.03600311279297,172.27099609375,129.5709991455078,143.697998046875,226.74600219726562,220.96299743652344,137.2760009765625,113.01799774169922,165.64100646972656,169.343994140625,24.256000518798828,8.663000106811523,51.93000030517578,11.152999877929688,12.95300006866455,8.710000038146973,12.586000442504883,7.105999946594238,16.631999969482422,14.486000061035156,36.053001403808594,40.992000579833984,102.89900207519531,77.63300323486328,88.88600158691406,81.25700378417969,45.10100173950195,27.849000930786133,30.326000213623047,59.1619987487793,16.736000061035156,24.427000045776367,2.3510000705718994,8.21399974822998,15.866000175476074,25.617000579833984,19.167999267578125,28.486000061035156,13.10099983215332,37.987998962402344,55.93199920654297,82.16500091552734
6,C,1,1.0,6.0,NaN,NaN,NaN,NaN,2.5169999599456787,14.793999671936035,16.121999740600586,27.149999618530273,1.840999960899353,19.235000610351562,7.822999954223633,3.569000005722046,NaN,NaN,NaN,NaN,34.183998107910156,71.6780014038086,37.077999114990234,53.24800109863281,NaN,NaN,NaN,NaN,3.743000030517578,23.202999114990234,4.492000102996826,7.065000057220459,2.5399999618530273,12.204999923706055,6.65500020980835,0.11699999868869781,51.922000885009766,77.82499694824219,97.83799743652344,133.71299743652344,0.16300000250339508,25.39699935913086,17.23900032043457,0.03200000151991844,49.36399841308594,121.04000091552734,74.00299835205078,147.20899963378906,NaN,NaN,NaN,NaN,5.894000053405762,4.519000053405762,5.5329999923706055,20.863000869750977,36.112998962402344,60.858001708984375,36.430999755859375,67.18699645996094,8.788000106811523,6.144000053405762,14.380000114440918,28.41200065612793,114.08599853515625,28.808000564575195,33.10100173950195,117.64900207519531,30.034000396728516,41.75199890136719,23.062999725341797,42.78200149536133,10.918999671936035,0.052000001072883606,0.024000000208616257,18.076000213623047,NaN,NaN,NaN,NaN,12.73799991607666,2.440999984741211,2.1440000534057617,11.015999794006348,150.50799560546875,50.57500076293945,34.64400100708008,68.27100372314453,8.265000343322754,6.488999843597412,12.434000015258789,0.007000000216066837,88.5,84.83300018310547,99.13099670410156,159.4709930419922,68.50599670410156,104.05599975585938,81.95099639892578,230.802001953125,149.36000061035156,170.8300018310547,160.8509979248047,160.5240020751953,29.89299964904785,16.861000061035156,15.17199993133545,17.51799964904785,20.31100082397461,8.826000213623047,13.02299976348877,14.041999816894531,18.628999710083008,12.295999526977539,12.24899959564209,39.84199905395508,70.51599884033203,57.5629997253418,82.13600158691406,129.69500732421875,44.33100128173828,62.069000244140625,60.207000732421875,55.191001892089844,14.50100040435791,42.474998474121094,6.546000003814697,21.809999465942383,16.166000366210938,18.25200080871582,7.827000141143799,26.490999221801758,16.847999572753906,64.82499694824219,40.566001892089844,68.73699951171875
7,C,0,4.0,5.0,NaN,NaN,NaN,NaN,12.791999816894531,6.366000175476074,18.58799934387207,28.391000747680664,8.597999572753906,9.720999717712402,0.8899999856948853,14.668000221252441,NaN,NaN,NaN,NaN,48.59600067138672,45.49700164794922,114.20899963378906,65.08899688720703,NaN,NaN,NaN,NaN,14.447999954223633,18.538000106811523,15.690999984741211,8.307999610900879,4.943999767303467,13.821000099182129,10.39799976348877,2.2820000648498535,161.81700134277344,63.516998291015625,91.8280029296875,81.31800079345703,15.595000267028809,9.517999649047852,16.143999099731445,5.4679999351501465,97.70899963378906,77.70500183105469,89.4010009765625,138.30299377441406,NaN,NaN,NaN,NaN,8.79800033569336,14.746999740600586,6.585999965667725,14.642999649047852,36.893001556396484,54.16699981689453,44.016998291015625,86.40399932861328,0.2680000066757202,10.253000259399414,20.23699951171875,62.76499938964844,71.98300170898438,62.724998474121094,112.26799774169922,77.32599639892578,11.142000198364258,44.25600051879883,34.42300033569336,53.98400115966797,4.309999942779541,5.223999977111816,7.416999816894531,16.952999114990234,NaN,NaN,NaN,NaN,0.09700000286102295,2.247999906539917,2.186000108718872,33.766998291015625,32.981998443603516,62.20100021362305,29.465999603271484,101.25800323486328,NaN,NaN,NaN,NaN,81.36799621582031,110.35600280761719,101.28199768066406,152.3090057373047,123.37300109863281,186.04600524902344,159.718994140625,224.9290008544922,110.91699981689453,166.86000061035156,201.4739990234375,163.06300354003906,15.718999862670898,38.9109992980957,24.847000122070312,11.043000221252441,8.755000114440918,17.329999923706055,16.648000717163086,25.891000747680664,18.941999435424805,31.60300064086914,20.683000564575195,34.597999572753906,96.81300354003906,57.426998138427734,78.53299713134766,103.05699920654297,51.691001892089844,66.7959976196289,68.10600280761719,66.00199890136719,27.183000564575195,15.633000373840332,9.092000007629395,10.838000297546387,18.5310001373291,20.97599983215332,23.597000122070312,21.35099983215332,113.36299896240234,81.2229995727539,25.941999435424805,48.10900115966797
8,M,0,4.0,3.0,NaN,NaN,NaN,NaN,2.427000045776367,8.734999656677246,22.051000595092773,3.6540000438690186,8.598999977111816,8.402999877929688,6.295000076293945,0.5080000162124634,NaN,NaN,NaN,NaN,26.339000701904297,76.40899658203125,95.04299926757812,77.25599670410156,NaN,NaN,NaN,NaN,4.696000099182129,30.562000274658203,9.182000160217285,17.27899932861328,0.08699999749660492,20.549999237060547,4.427999973297119,3.943000078201294,40.40399932861328,119.86900329589844,62.35599899291992,113.95700073242188,NaN,NaN,NaN,NaN,89.29199981689453,74.35099792480469,65.16300201416016,166.19000244140625,NaN,NaN,NaN,NaN,2.4100000858306885,4.482999801635742,10.49899959564209,21.288000106811523,49.948001861572266,42.441001892089844,27.076000213623047,55.29499816894531,2.8380000591278076,26.45400047302246,27.783000946044922,45.61399841308594,56.084999084472656,97.39399719238281,48.1349983215332,147.51699829101562,31.395000457763672,33.63199996948242,24.07900047302246,65.58300018310547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.14900000393390656,10.350000381469727,4.210999965667725,34.89099884033203,61.23899841308594,56.31800079345703,61.650001525878906,149.1790008544922,2.3389999866485596,8.291000366210938,9.633999824523926,4.998000144958496,91.197998046875,74.10600280761719,119.46900177001953,182.58799743652344,114.84100341796875,148.2239990234375,164.3159942626953,198.31100463867188,98.28900146484375,141.1490020751953,129.04600524902344,196.51300048828125,8.052000045776367,9.00100040435791,21.90999984741211,22.8700008392334,8.295999526977539,23.058000564575195,12.142000198364258,24.913999557495117,6.64300012588501,16.764999389648438,20.989999771118164,31.42099952697754,67.5979995727539,51.17599868774414,54.90399932861328,87.9000015258789,36.00199890136719,38.86800003051758,38.055999755859375,89.36699676513672,25.35099983215332,28.10700035095215,3.6440000534057617,29.03700065612793,12.560999870300293,12.729000091552734,24.14299964904785,21.902000427246094,25.606000900268555,73.97000122070312,69.28099822998047,110.84700012207031
9,M,1,7.0,2.0,NaN,NaN,NaN,NaN,0.13099999725818634,2.0959999561309814,22.841999053955078,10.586999893188477,8.41100025177002,10.836999893188477,4.244999885559082,0.08100000023841858,NaN,NaN,NaN,NaN,21.91699981689453,72.32599639892578,73.53299713134766,98.73200225830078,NaN,NaN,NaN,NaN,4.052000045776367,16.856000900268555,30.267000198364258,10.803999900817871,8.678999900817871,7.263000011444092,12.288000106811523,14.390999794006348,53.08300018310547,55.28799819946289,72.22200012207031,184.24099731445312,NaN,NaN,NaN,NaN,75.87000274658203,120.88999938964844,119.31199645996094,148.80099487304688,NaN,NaN,NaN,NaN,0.17100000381469727,6.420000076293945,13.149999618530273,26.82699966430664,45.270999908447266,37.749000549316406,31.711000442504883,50.63800048828125,17.39900016784668,17.06599998474121,18.118000030517578,53.95899963378906,46.07899856567383,91.53199768066406,79.41400146484375,192.72300720214844,29.81800079345703,20.841999053955078,22.31399917602539,64.16000366210938,0.05700000002980232,0.0,0.05400000140070915,25.149999618530273,NaN,NaN,NaN,NaN,0.13099999725818634,0.0,6.35699987411499,21.961000442504883,13.612000465393066,54.78300094604492,40.2239990234375,139.13299560546875,NaN,NaN,NaN,NaN,100.3949966430664,72.36100006103516,103.26399993896484,154.51499938964844,133.24400329589844,164.95599365234375,67.84200286865234,177.91200256347656,131.3070068359375,121.09100341796875,94.66999816894531,155.23199462890625,14.282999992370605,18.32900047302246,2.7190001010894775,0.0,6.61299991607666,14.64799976348877,9.267000198364258,28.0049991607666,8.095999717712402,26.820999145507812,17.920000076293945,33.46099853515625,88.97899627685547,65.44100189208984,66.697998046875,67.26000213623047,32.34600067138672,51.95600128173828,33.007999420166016,83.14099884033203,0.6460000276565552,12.236000061035156,8.503000259399414,22.69099998474121,8.123000144958496,20.900999069213867,19.510000228881836,15.675999641418457,36.17300033569336,40.0369987487793,37.46099853515625,95.52899932861328
10,C,1,1.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.598999977111816,8.484000205993652,4.389999866485596,8.182000160217285,NaN,NaN,NaN,NaN,34.73699951171875,108.49299621582031,110.19499969482422,75.2300033569336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.570999145507812,16.347999572753906,15.769000053405762,11.77400016784668,113.32599639892578,128.22999572753906,62.47100067138672,55.16999816894531,NaN,NaN,NaN,NaN,74.64099884033203,82.22200012207031,80.50499725341797,103.927001953125,NaN,NaN,NaN,NaN,4.709000110626221,4.443999767303467,7.177000045776367,10.956999778747559,26.875999450683594,57.10499954223633,39.87900161743164,82.9469985961914,8.512999534606934,10.470000267028809,8.055000305175781,54.26300048828125,97.93599700927734,107.67500305175781,30.81399917602539,169.44900512695312,34.81800079345703,38.202999114990234,22.562999725341797,46.257999420166016,4.613999843597412,0.0020000000949949026,0.023000000044703484,14.684000015258789,NaN,NaN,NaN,NaN,0.23499999940395355,2.2699999809265137,0.050999999046325684,34.737998962402344,60.42499923706055,20.43400001525879,12.66100025177002,133.9770050048828,NaN,NaN,NaN,NaN,49.12799835205078,74.2030029296875,61.51599884033203,125.55799865722656,181.6300048828125,148.14199829101562,147.60000610351562,269.552001953125,120.62799835205078,192.81700134277344,165.5050048828125,172.48800659179688,10.859000205993652,21.156999588012695,19.30699920654297,32.1619987487793,10.005999565124512,9.592000007629395,5.801000118255615,8.680000305175781,15.039999961853027,21.320999145507812,16.97100067138672,32.974998474121094,124.85700225830078,91.06900024414062,63.67900085449219,99.08100128173828,49.31700134277344,61.257999420166016,46.4370002746582,74.38500213623047,8.654000282287598,27.131000518798828,6.683000087738037,19.327999114990234,21.649999618530273,11.805000305175781,13.083000183105469,21.035999298095703,9.569000244140625,52.763999938964844,34.16699981689453,94.26100158691406
