49 of 73 units, , , , ,V4e107_00, , , ,V4e107_01, , , ,V4e111_00, , , ,V4e111_03, , , ,V4e118_00, , , ,V4e119_00, , , ,V4e121_00, , , ,V4e121_01, , , ,V4e121_02, , , ,V4e121_04, , , ,V4e121_05, , , ,V4e121_06, , , ,V4e121_07, , , ,V4e121_08, , , ,V4e121_09, , , ,V4e122_00, , , ,V4e122_01, , , ,V4e122_02, , , ,V4e122_03, , , ,MTe098_00, , , ,MTe098_01, , , ,MTe098_02, , , ,MTe098_03, , , ,MTe099_00, , , ,MTe099_01, , , ,MTe100_00, , , ,MTe101_00, , , ,MTe101_01, , , ,MTe101_03, , , ,MTe101_04, , , ,MTe102_00, , , ,MTe102_03, , , ,MTe102_05, , , ,MTe102_06, , , ,MTe105_00, , , ,MTe105_01, , , ,MTe113_00, , , ,MTe115_00, , , ,MTe115_02, , , ,MTe115_03, , , ,MTe116_00, , , ,MTe116_01, , , ,MTe116_02, , , ,MTe117_00, , , ,MTe117_01, , , ,MTe117_05, , , ,MTe117_06, , , ,MTe117_07, , , ,MTe117_08, , , 
trials,task,correct,color,motion,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample
1,C,1,4.0,4.0,29.732999801635742,34.28499984741211,33.172000885009766,15.413000106811523,9.859999656677246,46.14799880981445,17.033000946044922,7.548999786376953,2.505000114440918,25.8700008392334,32.99399948120117,10.732000350952148,NaN,NaN,NaN,NaN,17.895999908447266,0.0,10.104000091552734,22.71299934387207,17.08799934387207,10.666999816894531,11.642000198364258,22.88800048828125,66.48699951171875,51.08599853515625,25.46500015258789,67.73200225830078,9.82800006866455,10.875,8.890000343322754,23.850000381469727,2.2269999980926514,6.7820000648498535,4.039999961853027,18.062999725341797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.239999771118164,41.749000549316406,31.118999481201172,44.792999267578125,0.2770000100135803,8.560999870300293,2.2929999828338623,20.107999801635742,2.424999952316284,37.26499938964844,25.145999908447266,14.673999786376953,NaN,NaN,NaN,NaN,53.06100082397461,24.356000900268555,30.597000122070312,34.61399841308594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.003000259399414,24.343000411987305,23.43899917602539,22.658000946044922,78.87799835205078,25.246999740600586,34.25899887084961,40.590999603271484,NaN,NaN,NaN,NaN,27.040000915527344,82.07099914550781,19.014999389648438,101.41899871826172,12.994999885559082,54.10200119018555,24.333999633789062,42.00299835205078,14.564000129699707,53.70800018310547,9.079999923706055,15.371000289916992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.746999740600586,62.73099899291992,34.415000915527344,50.07600021362305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.47100067138672,94.20600128173828,108.6520004272461,144.9929962158203,31.56999969482422,63.0890007019043,52.57699966430664,37.255001068115234,NaN,NaN,NaN,NaN,6.672999858856201,0.0010000000474974513,2.2809998989105225,11.21399974822998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.937999963760376,1.6319999694824219,0.057999998331069946,11.595999717712402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,C,1,1.0,2.0,21.173999786376953,37.119998931884766,19.28700065612793,22.555999755859375,8.090999603271484,21.368999481201172,12.682000160217285,17.72800064086914,14.229000091552734,33.12099838256836,20.426000595092773,17.04800033569336,NaN,NaN,NaN,NaN,30.05699920654297,11.847999572753906,0.0,4.757999897003174,16.01099967956543,20.506000518798828,10.093999862670898,44.13999938964844,57.02199935913086,61.14699935913086,20.10700035095215,51.724998474121094,6.994999885559082,17.08799934387207,8.715999603271484,21.481000900268555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.173999786376953,58.80699920654297,47.236000061035156,28.496999740600586,6.790999889373779,14.607000350952148,0.012000000104308128,16.25,26.20400047302246,56.400001525878906,21.155000686645508,16.166000366210938,NaN,NaN,NaN,NaN,18.424999237060547,39.57099914550781,70.37200164794922,37.30099868774414,0.07999999821186066,0.006000000052154064,30.191999435424805,0.0010000000474974513,NaN,NaN,NaN,NaN,21.82900047302246,25.7450008392334,28.770999908447266,25.094999313354492,58.09600067138672,116.63899993896484,55.130001068115234,108.94300079345703,NaN,NaN,NaN,NaN,27.62299919128418,54.31999969482422,32.117000579833984,114.52400207519531,10.82699966430664,46.32400131225586,20.86199951171875,91.9280014038086,15.25,21.472999572753906,13.781999588012695,26.285999298095703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.62699890136719,61.70600128173828,53.983001708984375,9.456000328063965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.7130012512207,86.8270034790039,101.21199798583984,89.76699829101562,11.36400032043457,43.667999267578125,61.57699966430664,18.659000396728516,NaN,NaN,NaN,NaN,10.571999549865723,14.3149995803833,3.878999948501587,15.628000259399414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.51200008392334,0.0010000000474974513,0.0010000000474974513,7.815000057220459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.796000003814697,2.2869999408721924,0.0,3.6540000438690186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,C,1,1.0,7.0,22.542999267578125,12.753000259399414,21.40399932861328,44.29100036621094,16.219999313354492,26.700000762939453,8.491000175476074,35.54899978637695,10.805000305175781,8.833999633789062,26.400999069213867,17.413999557495117,NaN,NaN,NaN,NaN,28.013999938964844,6.7210001945495605,29.02899932861328,4.693999767303467,8.951000213623047,5.923999786376953,4.304999828338623,28.433000564575195,50.93000030517578,23.57200050354004,12.223999977111816,45.382999420166016,8.532999992370605,8.878999710083008,7.6529998779296875,22.236000061035156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.630999565124512,36.19300079345703,20.458999633789062,11.906999588012695,8.265999794006348,4.252999782562256,0.029999999329447746,12.833999633789062,6.567999839782715,37.92399978637695,27.082000732421875,23.729000091552734,NaN,NaN,NaN,NaN,18.68600082397461,45.27899932861328,32.191001892089844,17.524999618530273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.731000900268555,28.336999893188477,26.30500030517578,17.399999618530273,49.32699966430664,54.75400161743164,36.7130012512207,49.10599899291992,NaN,NaN,NaN,NaN,60.404998779296875,34.301998138427734,29.94700050354004,50.84000015258789,8.769000053405762,16.67300033569336,46.53099822998047,75.23799896240234,12.163000106811523,23.7189998626709,14.560999870300293,22.638999938964844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.81800079345703,51.702999114990234,0.9259999990463257,64.37000274658203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.319000244140625,83.08599853515625,95.86699676513672,122.70600128173828,32.63800048828125,23.656999588012695,31.923999786376953,25.863000869750977,NaN,NaN,NaN,NaN,8.74899959564209,3.5350000858306885,5.1579999923706055,19.1299991607666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,M,1,2.0,6.0,11.031000137329102,48.15800094604492,54.81999969482422,37.85900115966797,12.125,55.20100021362305,44.08300018310547,33.178001403808594,9.04699993133545,41.176998138427734,25.468000411987305,8.031000137329102,NaN,NaN,NaN,NaN,10.597000122070312,6.4039998054504395,4.96999979019165,3.2079999446868896,15.097000122070312,6.552999973297119,6.660999774932861,28.878999710083008,27.500999450683594,30.694000244140625,14.706000328063965,62.3390007019043,7.8460001945495605,5.767000198364258,8.770999908447266,21.750999450683594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.208000183105469,14.074999809265137,16.3700008392334,33.926998138427734,8.486000061035156,0.0,0.02500000037252903,16.53499984741211,7.730999946594238,8.371000289916992,6.46999979019165,24.823999404907227,NaN,NaN,NaN,NaN,64.64800262451172,21.55500030517578,28.141000747680664,50.72200012207031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.374000549316406,23.413999557495117,25.71299934387207,26.031999588012695,29.354999542236328,77.51399993896484,35.777000427246094,103.38300323486328,NaN,NaN,NaN,NaN,25.555999755859375,25.44099998474121,23.339000701904297,96.5260009765625,0.14399999380111694,32.5099983215332,8.25100040435791,11.156999588012695,4.986999988555908,20.923999786376953,10.343000411987305,21.64900016784668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.740999221801758,27.979999542236328,8.777999877929688,59.391998291015625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.3479995727539,78.552001953125,114.85900115966797,133.15199279785156,30.812000274658203,51.358001708984375,66.24299621582031,25.333999633789062,NaN,NaN,NaN,NaN,6.550000190734863,10.631999969482422,4.543000221252441,14.937999725341797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.600000381469727,6.775000095367432,6.333000183105469,11.128999710083008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,M,1,2.0,7.0,15.093000411987305,42.428001403808594,29.062999725341797,53.99599838256836,13.163999557495117,27.058000564575195,25.586999893188477,38.742000579833984,6.8379998207092285,15.701000213623047,21.783000946044922,43.19200134277344,NaN,NaN,NaN,NaN,2.6449999809265137,10.739999771118164,91.1729965209961,13.227999687194824,2.5959999561309814,6.848999977111816,16.72100067138672,31.340999603271484,22.715999603271484,24.441999435424805,29.3700008392334,46.900001525878906,5.452000141143799,9.871000289916992,6.00600004196167,19.416000366210938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.211999893188477,45.152000427246094,43.39099884033203,19.138999938964844,0.10300000011920929,0.0,4.423999786376953,18.60300064086914,7.14300012588501,26.822999954223633,35.29999923706055,22.972999572753906,NaN,NaN,NaN,NaN,28.559999465942383,25.34000015258789,48.21099853515625,24.28700065612793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.46299934387207,22.059999465942383,21.30500030517578,24.01799964904785,46.50400161743164,56.61600112915039,67.62699890136719,83.41200256347656,NaN,NaN,NaN,NaN,52.08399963378906,27.215999603271484,43.92399978637695,91.01599884033203,6.730000019073486,50.358001708984375,43.08399963378906,50.564998626708984,2.5480000972747803,44.15800094604492,23.854000091552734,16.607999801635742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.253000259399414,80.4530029296875,0.3569999933242798,40.13800048828125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.71099853515625,106.43000030517578,112.26499938964844,145.64700317382812,50.7140007019043,39.26599884033203,40.14699935913086,73.5989990234375,NaN,NaN,NaN,NaN,12.166000366210938,4.914999961853027,7.083000183105469,18.893999099731445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0820000022649765,6.767000198364258,0.03700000047683716,14.61299991607666,25.62299919128418,4.711999893188477,0.0010000000474974513,7.999000072479248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,M,1,5.0,4.0,28.836000442504883,52.89099884033203,68.43000030517578,50.44900131225586,16.117000579833984,38.3650016784668,66.1510009765625,34.599998474121094,9.859000205993652,24.14699935913086,43.459999084472656,29.090999603271484,NaN,NaN,NaN,NaN,2.4769999980926514,2.3450000286102295,24.312000274658203,29.621999740600586,1.3760000467300415,7.709000110626221,14.326000213623047,16.79599952697754,30.608999252319336,21.82699966430664,45.893001556396484,59.66400146484375,0.1589999943971634,8.255000114440918,16.398000717163086,17.06599998474121,2.453000068664551,10.204999923706055,10.501999855041504,31.607999801635742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.604999542236328,20.648000717163086,30.54599952697754,5.065000057220459,4.073999881744385,2.2920000553131104,8.711000442504883,15.140000343322754,4.673999786376953,12.767000198364258,10.406000137329102,7.355000019073486,NaN,NaN,NaN,NaN,59.270999908447266,39.577999114990234,24.106000900268555,21.621999740600586,28.316999435424805,0.006000000052154064,0.0020000000949949026,12.057000160217285,NaN,NaN,NaN,NaN,22.07699966430664,26.343000411987305,21.878000259399414,26.849000930786133,96.10800170898438,91.83300018310547,49.06399917602539,146.9250030517578,NaN,NaN,NaN,NaN,36.349998474121094,61.2859992980957,34.42100143432617,119.58300018310547,7.050000190734863,33.22100067138672,34.11399841308594,30.214000701904297,7.810999870300293,25.149999618530273,16.533000946044922,7.195000171661377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.268999099731445,49.37799835205078,18.18600082397461,56.32600021362305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.44400024414062,110.63400268554688,62.74800109863281,125.02799987792969,40.733001708984375,38.28499984741211,23.025999069213867,21.202999114990234,NaN,NaN,NaN,NaN,12.637999534606934,14.267999649047852,3.878999948501587,4.751999855041504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.308000087738037,6.311999797821045,0.035999998450279236,9.260000228881836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,C,1,7.0,2.0,30.408000946044922,35.18299865722656,41.89699935913086,34.542999267578125,2.4709999561309814,24.698999404907227,28.106000900268555,4.443999767303467,2.5320000648498535,23.875,20.650999069213867,12.227999687194824,NaN,NaN,NaN,NaN,7.869999885559082,11.067999839782715,18.0310001373291,23.062999725341797,4.339000225067139,7.796999931335449,6.556000232696533,23.013999938964844,23.260000228881836,23.315000534057617,36.604000091552734,66.58399963378906,2.3959999084472656,10.281999588012695,8.208999633789062,11.086000442504883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.260000228881836,50.22999954223633,33.448001861572266,38.67300033569336,0.28600001335144043,0.9890000224113464,1.3229999542236328,56.32899856567383,4.872000217437744,20.30900001525879,16.22800064086914,31.263999938964844,NaN,NaN,NaN,NaN,16.583999633789062,27.808000564575195,19.23699951171875,36.52000045776367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.148000717163086,24.145999908447266,28.214000701904297,27.67799949645996,17.488000869750977,60.85499954223633,60.17300033569336,31.979999542236328,NaN,NaN,NaN,NaN,26.197999954223633,45.90999984741211,34.369998931884766,90.72000122070312,4.541999816894531,8.460000038146973,36.70100021362305,74.96499633789062,2.453000068664551,11.411999702453613,32.965999603271484,23.577999114990234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.88700008392334,76.96600341796875,51.292999267578125,19.027999877929688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.77200317382812,80.6449966430664,104.0009994506836,97.3499984741211,47.75299835205078,43.41999816894531,53.86800003051758,25.618999481201172,NaN,NaN,NaN,NaN,10.005999565124512,8.345000267028809,2.4630000591278076,18.413000106811523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.322999954223633,0.009999999776482582,0.02500000037252903,27.976999282836914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,M,1,2.0,2.0,12.788000106811523,25.323999404907227,41.222999572753906,14.526000022888184,2.5329999923706055,17.072999954223633,39.63100051879883,11.756999969482422,13.1899995803833,22.6299991607666,26.74799919128418,21.077999114990234,NaN,NaN,NaN,NaN,0.24799999594688416,10.427000045776367,8.385000228881836,4.577000141143799,0.15000000596046448,16.569000244140625,2.3529999256134033,26.11199951171875,0.3569999933242798,24.47800064086914,14.534000396728516,48.055999755859375,0.1720000058412552,12.383999824523926,15.074000358581543,17.7549991607666,0.1720000058412552,22.572999954223633,1.7280000448226929,12.336000442504883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.696000099182129,49.347999572753906,28.375999450683594,35.229000091552734,0.23999999463558197,6.263999938964844,1.9739999771118164,25.540000915527344,0.2590000033378601,19.658000946044922,7.97599983215332,20.077999114990234,NaN,NaN,NaN,NaN,74.50700378417969,16.499000549316406,18.393999099731445,29.007999420166016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.9950008392334,26.39900016784668,20.104999542236328,20.81399917602539,69.96099853515625,82.87000274658203,41.01599884033203,56.53900146484375,NaN,NaN,NaN,NaN,12.206000328063965,43.222999572753906,18.507999420166016,78.41699981689453,3.9679999351501465,33.143001556396484,57.4630012512207,37.6879997253418,3.434000015258789,15.496000289916992,16.527999877929688,15.006999969482422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9790000915527344,65.0770034790039,14.944999694824219,10.637999534606934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.6510009765625,118.04199981689453,58.21900177001953,119.26100158691406,43.577999114990234,37.917999267578125,32.7140007019043,44.53300094604492,NaN,NaN,NaN,NaN,4.5229997634887695,8.479999542236328,2.316999912261963,12.170000076293945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0689999982714653,0.0,2.2929999828338623,9.989999771118164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.873000144958496,0.14800000190734863,10.390000343322754,17.045000076293945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,M,1,1.0,2.0,27.059999465942383,36.625,41.10499954223633,46.237998962402344,19.371000289916992,34.24700164794922,56.17100143432617,39.72800064086914,14.72599983215332,46.55400085449219,22.108999252319336,6.370999813079834,NaN,NaN,NaN,NaN,12.357999801635742,2.2869999408721924,12.585000038146973,45.05699920654297,7.369999885559082,13.244000434875488,0.06700000166893005,24.440000534057617,4.452000141143799,19.42300033569336,17.600000381469727,47.310001373291016,1.7029999494552612,9.416000366210938,13.496000289916992,25.25200080871582,1.6640000343322754,10.989999771118164,4.2779998779296875,7.5229997634887695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0390000343322754,18.628999710083008,8.354999542236328,32.61600112915039,0.14300000667572021,0.0,0.00800000037997961,28.437999725341797,13.97599983215332,8.196000099182129,6.570000171661377,14.92300033569336,NaN,NaN,NaN,NaN,8.569000244140625,20.06999969482422,46.016998291015625,38.99800109863281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.57200050354004,25.361000061035156,24.48200035095215,26.391000747680664,89.54399871826172,68.84400177001953,47.09600067138672,45.111000061035156,NaN,NaN,NaN,NaN,17.086000442504883,59.63600158691406,33.55799865722656,95.53700256347656,4.295000076293945,33.52299880981445,33.665000915527344,42.3650016784668,2.809000015258789,18.69300079345703,18.038999557495117,20.743000030517578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.40800094604492,54.555999755859375,10.300000190734863,50.249000549316406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67.7760009765625,107.03500366210938,88.18800354003906,81.64800262451172,27.79599952697754,39.01900100708008,28.43000030517578,22.32699966430664,NaN,NaN,NaN,NaN,7.1529998779296875,6.520999908447266,13.876999855041504,16.701000213623047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07400000095367432,2.244999885559082,2.2239999771118164,15.12600040435791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.558000087738037,0.004000000189989805,6.7789998054504395,8.461999893188477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,M,0,4.0,4.0,1.3530000448226929,47.54199981689453,43.810001373291016,10.87600040435791,2.513000011444092,30.94499969482422,12.22599983215332,3.444000005722046,30.0049991607666,22.52899932861328,18.961999893188477,22.180999755859375,NaN,NaN,NaN,NaN,8.635000228881836,16.472000122070312,15.015000343322754,35.4109992980957,2.441999912261963,12.72700023651123,8.359999656677246,0.05900000035762787,31.374000549316406,26.996000289916992,41.54999923706055,70.28600311279297,3.7109999656677246,8.809000015258789,8.017000198364258,20.700000762939453,4.383999824523926,12.663000106811523,2.9800000190734863,43.729000091552734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.555999755859375,39.099998474121094,69.9540023803711,11.376999855041504,0.08799999952316284,4.5279998779296875,8.401000022888184,18.51099967956543,27.395000457763672,54.61199951171875,29.77400016784668,21.73699951171875,NaN,NaN,NaN,NaN,27.25200080871582,29.847000122070312,12.187000274658203,9.944000244140625,16.05500030517578,11.206999778747559,0.0,0.0,NaN,NaN,NaN,NaN,22.98200035095215,26.118000030517578,21.884000778198242,24.131999969482422,36.79800033569336,32.13800048828125,94.81199645996094,44.354000091552734,NaN,NaN,NaN,NaN,15.208000183105469,53.98899841308594,8.788999557495117,153.2050018310547,8.269000053405762,53.57099914550781,32.409000396728516,16.6200008392334,6.559999942779541,20.7549991607666,11.003999710083008,12.868000030517578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.224998474121094,71.30899810791016,28.075000762939453,67.15799713134766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.09400177001953,87.10600280761719,101.13500213623047,99.67500305175781,42.14899826049805,77.95600128173828,61.167999267578125,20.111000061035156,NaN,NaN,NaN,NaN,4.515999794006348,15.194000244140625,11.333999633789062,13.085000038146973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3469998836517334,0.0,7.406000137329102,19.28700065612793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
