26 of 43 units, , , ,V4e106_00, ,V4e106_05, ,V4e106_06, ,V4e107_00, ,V4e108_00, ,V4e109_00, ,V4e109_01, ,V4e110_00, ,V4e110_03, ,V4e111_00, ,V4e111_01, ,V4e118_00, ,V4e118_01, ,V4e119_00, ,V4e120_00, ,V4e120_01, ,V4e120_02, ,V4e120_04, ,V4e121_00, ,V4e122_00, ,V4e122_03, ,V4e123_00, ,MTe099_00, ,MTe101_00, ,MTe104_00, ,MTe105_00, 
trials,task,color,motion,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample
1,M,4.0,4.0,95.34200286865234,56.61600112915039,NaN,NaN,NaN,NaN,16.56599998474121,35.48899841308594,20.14699935913086,21.614999771118164,68.22699737548828,68.78600311279297,2.263000011444092,16.92099952697754,82.11499786376953,58.099998474121094,4.5970001220703125,11.446999549865723,27.257999420166016,34.85100173950195,NaN,NaN,NaN,NaN,NaN,NaN,34.513999938964844,64.39199829101562,20.35099983215332,18.058000564575195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.45600128173828,24.14900016784668,12.730999946594238,12.935999870300293,14.338000297546387,11.479999542236328,NaN,NaN,NaN,NaN,NaN,NaN,11.243000030517578,6.061999797821045
2,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,C,6.0,6.0,73.33399963378906,62.14799880981445,NaN,NaN,NaN,NaN,20.409000396728516,9.333999633789062,24.408000946044922,16.222999572753906,59.49399948120117,47.54499816894531,13.628000259399414,32.23099899291992,151.91799926757812,174.24600219726562,49.90599822998047,41.13800048828125,28.96500015258789,49.439998626708984,NaN,NaN,NaN,NaN,NaN,NaN,28.910999298095703,51.994998931884766,25.475000381469727,22.47599983215332,0.3659999966621399,11.428999900817871,17.302000045776367,12.081000328063965,NaN,NaN,7.75600004196167,21.607999801635742,45.94499969482422,17.618000030517578,21.312999725341797,32.577999114990234,9.041999816894531,3.635999917984009,NaN,NaN,NaN,NaN,NaN,NaN,10.428999900817871,15.616000175476074
4,C,1.0,7.0,27.89900016784668,110.96600341796875,NaN,NaN,NaN,NaN,11.182000160217285,21.381999969482422,10.27299976348877,14.284000396728516,55.400001525878906,55.518001556396484,2.7170000076293945,17.92799949645996,154.33900451660156,144.75799560546875,11.013999938964844,2.572999954223633,5.816999912261963,69.125,NaN,NaN,NaN,NaN,NaN,NaN,10.756999969482422,49.367000579833984,17.30500030517578,6.843999862670898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.2760009765625,46.150001525878906,10.916000366210938,17.16699981689453,16.856000900268555,17.65999984741211,NaN,NaN,NaN,NaN,NaN,NaN,14.354000091552734,19.75
5,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,C,7.0,2.0,53.64799880981445,51.119998931884766,NaN,NaN,NaN,NaN,14.012999534606934,8.237000465393066,13.538000106811523,6.724999904632568,40.930999755859375,59.49100112915039,3.369999885559082,21.63800048828125,147.05099487304688,155.56300354003906,15.767999649047852,21.940000534057617,11.928000450134277,33.53799819946289,NaN,NaN,NaN,NaN,NaN,NaN,20.426000595092773,56.417999267578125,19.12700080871582,12.597000122070312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.07600021362305,23.010000228881836,15.767999649047852,1.312000036239624,14.559000015258789,10.053000450134277,NaN,NaN,NaN,NaN,NaN,NaN,5.010000228881836,11.159000396728516
7,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,M,2.0,6.0,33.45500183105469,49.39500045776367,NaN,NaN,NaN,NaN,16.572999954223633,8.369999885559082,20.40999984741211,25.924999237060547,38.27299880981445,23.273000717163086,21.006999969482422,46.11899948120117,129.33200073242188,103.68199920654297,19.156999588012695,16.881999969482422,16.13599967956543,16.010000228881836,NaN,NaN,NaN,NaN,NaN,NaN,26.966999053955078,33.89500045776367,20.648000717163086,13.666000366210938,NaN,NaN,16.139999389648438,23.42300033569336,NaN,NaN,NaN,NaN,28.34600067138672,47.57400131225586,15.479000091552734,11.081000328063965,14.694999694824219,16.256999969482422,NaN,NaN,NaN,NaN,NaN,NaN,19.905000686645508,14.357000350952148
9,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
