9 of 10 units, , , , ,V4e121_00, , , ,V4e122_00, , , ,V4e122_01, , , ,V4e123_00, , , ,V4e123_01, , , ,MTe080_00, , , ,MTe080_01, , , ,MTe081_00, , , ,MTe081_02, , , 
trials,task,correct,color,motion,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample
1,C,0,7.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3440000116825104,35.64400100708008,18.94300079345703,66.18399810791016,44.569000244140625,96.21700286865234,59.08399963378906,188.6199951171875,68.7239990234375,105.2959976196289,48.986000061035156,73.36299896240234,0.1509999930858612,22.30699920654297,2.9200000762939453,24.033000946044922,39.80400085449219,40.965999603271484,6.109000205993652,5.427999973297119,NaN,NaN,NaN,NaN
2,M,1,1.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.47200012207031,61.20199966430664,79.81300354003906,28.25,111.30500030517578,108.23200225830078,47.512001037597656,43.57600021362305,35.736000061035156,36.78499984741211,29.770000457763672,80.60900115966797,6.453000068664551,2.2709999084472656,0.0020000000949949026,7.63700008392334,19.593000411987305,5.388000011444092,1.8229999542236328,36.57400131225586,NaN,NaN,NaN,NaN
3,M,1,1.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.635000228881836,3.433000087738037,10.501999855041504,29.14900016784668,28.076000213623047,36.55699920654297,25.410999298095703,115.58799743652344,40.33100128173828,64.6760025024414,37.95399856567383,142.06199645996094,2.3519999980926514,26.488000869750977,0.5820000171661377,20.08099937438965,28.506000518798828,17.53499984741211,7.330999851226807,50.56999969482422,NaN,NaN,NaN,NaN
4,C,1,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.619998931884766,7.941999912261963,10.47599983215332,95.90699768066406,23.288999557495117,20.033000946044922,26.323999404907227,247.36000061035156,21.30900001525879,65.38899993896484,18.426000595092773,62.48400115966797,0.09700000286102295,14.760000228881836,0.09099999815225601,24.215999603271484,6.559999942779541,6.235000133514404,0.039000000804662704,32.722999572753906,NaN,NaN,NaN,NaN
5,M,0,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.956999778747559,66.16300201416016,70.05799865722656,92.84400177001953,19.562000274658203,75.20500183105469,26.083999633789062,100.41300201416016,79.0790023803711,65.60700225830078,112.31300354003906,36.465999603271484,0.08799999952316284,4.484000205993652,4.50600004196167,2.2809998989105225,95.76899719238281,59.79899978637695,83.68800354003906,17.972999572753906,NaN,NaN,NaN,NaN
6,C,0,2.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.72100067138672,75.99800109863281,29.32200050354004,106.31500244140625,18.270999908447266,52.75199890136719,27.368000030517578,212.88800048828125,33.8650016784668,45.292999267578125,21.597999572753906,99.76499938964844,0.0860000029206276,8.989999771118164,0.004000000189989805,18.35700035095215,10.656000137329102,2.309000015258789,2.246000051498413,25.954999923706055,NaN,NaN,NaN,NaN
7,M,0,4.0,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.718000411987305,24.268999099731445,100.26799774169922,119.54199981689453,21.944000244140625,74.06500244140625,60.055999755859375,89.80999755859375,31.827999114990234,45.367000579833984,18.409000396728516,67.75599670410156,NaN,NaN,NaN,NaN,10.553000450134277,10.501999855041504,0.39899998903274536,17.145000457763672,NaN,NaN,NaN,NaN
8,C,0,6.0,2.0,2.322999954223633,2.2699999809265137,2.2709999084472656,7.941999912261963,0.024000000208616257,2.2880001068115234,2.244999885559082,3.6600000858306885,NaN,NaN,NaN,NaN,145.98199462890625,106.48500061035156,60.24100112915039,98.02100372314453,81.43900299072266,71.6709976196289,40.6349983215332,139.5850067138672,51.09700012207031,25.638999938964844,24.836000442504883,79.21099853515625,NaN,NaN,NaN,NaN,22.740999221801758,6.711999893188477,6.864999771118164,23.39699935913086,NaN,NaN,NaN,NaN
9,M,1,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.6349983215332,70.75800323486328,16.409000396728516,89.60299682617188,34.84000015258789,81.79299926757812,18.731000900268555,186.02499389648438,85.41400146484375,12.364999771118164,14.657999992370605,42.388999938964844,NaN,NaN,NaN,NaN,57.30500030517578,6.827000141143799,4.170000076293945,11.366000175476074,NaN,NaN,NaN,NaN
10,M,0,4.0,5.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.322999954223633,4.6620001792907715,12.86400032043457,13.979000091552734,4.169000148773193,8.760000228881836,18.172000885009766,26.32699966430664,28.732999801635742,64.73500061035156,54.91299819946289,135.10800170898438,0.0689999982714653,6.3379998207092285,0.08799999952316284,14.848999977111816,54.36399841308594,29.076000213623047,78.16200256347656,85.8239974975586,NaN,NaN,NaN,NaN
