9 of 10 units, , , ,V4e121_00, ,V4e122_00, ,V4e122_01, ,V4e123_00, ,V4e123_01, ,MTe080_00, ,MTe080_01, ,MTe081_00, ,MTe081_02, 
trials,task,color,motion,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample
1,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,M,1.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,79.81300354003906,28.25,47.512001037597656,43.57600021362305,29.770000457763672,80.60900115966797,0.0020000000949949026,7.63700008392334,1.8229999542236328,36.57400131225586,NaN,NaN
3,M,1.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,10.501999855041504,29.14900016784668,25.410999298095703,115.58799743652344,37.95399856567383,142.06199645996094,0.5820000171661377,20.08099937438965,7.330999851226807,50.56999969482422,NaN,NaN
4,C,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,10.47599983215332,95.90699768066406,26.323999404907227,247.36000061035156,18.426000595092773,62.48400115966797,0.09099999815225601,24.215999603271484,0.039000000804662704,32.722999572753906,NaN,NaN
5,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,M,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,16.409000396728516,89.60299682617188,18.731000900268555,186.02499389648438,14.657999992370605,42.388999938964844,NaN,NaN,4.170000076293945,11.366000175476074,NaN,NaN
